Customer ID,Recency,Frequency,Monetary,Cluster,Customer_Segment
12346,164,11,372.86,1,Lost Customers
12347,2,2,1323.32,0,Regular Customers
12348,73,1,222.16,0,Regular Customers
12349,42,3,2671.14,0,Regular Customers
12351,10,1,300.93,0,Regular Customers
12352,10,2,343.8,0,Regular Customers
12353,43,1,317.76,0,Regular Customers
12355,202,1,488.21,1,Lost Customers
12356,15,3,3562.25,0,Regular Customers
12357,23,2,12079.99,0,Regular Customers
12358,10,3,2719.01,0,Regular Customers
12359,60,6,2563.36,0,Regular Customers
12360,14,5,1590.83,0,Regular Customers
12361,97,3,321.35,0,Regular Customers
12362,373,1,130.0,1,Lost Customers
12366,268,1,500.24,1,Lost Customers
12368,263,1,917.7,1,Lost Customers
12369,48,3,1791.15,0,Regular Customers
12370,259,3,774.62,1,Lost Customers
12371,44,3,2179.42,0,Regular Customers
12373,259,2,763.0500000000001,1,Lost Customers
12374,56,3,2246.29,0,Regular Customers
12376,24,2,503.15,0,Regular Customers
12377,16,2,1798.2,0,Regular Customers
12378,197,1,1407.7,1,Lost Customers
12379,57,2,767.98,0,Regular Customers
12380,100,7,6951.49,0,Regular Customers
12385,14,1,1938.4,0,Regular Customers
12386,1,1,258.9,0,Regular Customers
12387,50,1,143.94,0,Regular Customers
12388,80,2,1120.45,0,Regular Customers
12389,37,3,1433.33,0,Regular Customers
12391,99,5,2312.53,0,Regular Customers
12392,226,1,234.75000000000003,1,Lost Customers
12393,17,2,816.85,0,Regular Customers
12395,6,4,2048.64,0,Regular Customers
12396,309,1,931.43,1,Lost Customers
12399,20,3,853.65,0,Regular Customers
12400,49,1,205.25,0,Regular Customers
12402,27,5,1031.3,0,Regular Customers
12403,156,1,591.6600000000001,1,Lost Customers
12404,317,1,63.24,1,Lost Customers
12406,34,3,2975.06,0,Regular Customers
12408,20,3,1452.22,0,Regular Customers
12409,55,4,12346.62,0,Regular Customers
12410,137,1,320.38,0,Regular Customers
12411,44,1,346.9,0,Regular Customers
12412,37,3,1370.05,0,Regular Customers
12413,37,1,241.35,0,Regular Customers
12414,98,3,390.0,0,Regular Customers
12415,10,7,19543.84,0,Regular Customers
12416,291,1,202.56,1,Lost Customers
12417,45,11,3167.81,0,Regular Customers
12418,48,3,1352.62,0,Regular Customers
12419,20,2,503.01,0,Regular Customers
12421,50,2,291.56,0,Regular Customers
12422,29,14,4428.24,0,Regular Customers
12423,22,2,763.08,0,Regular Customers
12424,57,2,1579.07,0,Regular Customers
12425,83,1,964.21,0,Regular Customers
12426,297,1,762.48,1,Lost Customers
12427,6,1,303.5,0,Regular Customers
12429,0,5,3735.51,0,Regular Customers
12431,8,13,4370.52,0,Regular Customers
12433,1,5,7205.39,0,Regular Customers
12434,16,1,297.29,0,Regular Customers
12435,31,4,6096.04,0,Regular Customers
12437,30,21,7731.99,0,Regular Customers
12439,317,2,1158.18,1,Lost Customers
12440,97,2,859.2,0,Regular Customers
12441,1,1,173.55,0,Regular Customers
12443,367,1,485.31,1,Lost Customers
12445,55,1,301.58000000000004,0,Regular Customers
12449,45,2,768.6,0,Regular Customers
12450,34,3,490.32,0,Regular Customers
12451,98,3,3634.36,0,Regular Customers
12454,30,4,13151.44,0,Regular Customers
12455,80,4,3413.09,0,Regular Customers
12457,70,1,632.68,0,Regular Customers
12458,62,2,830.09,0,Regular Customers
12459,240,1,454.36,1,Lost Customers
12460,91,1,326.65,0,Regular Customers
12466,317,1,56.73,1,Lost Customers
12467,58,1,132.8,0,Regular Customers
12468,161,3,2941.2,1,Lost Customers
12469,157,2,3070.54,1,Lost Customers
12470,324,1,211.95,1,Lost Customers
12471,9,49,20139.74,3,Loyal Customers
12472,4,13,11308.48,0,Regular Customers
12474,13,13,5048.66,0,Regular Customers
12475,44,1,426.26,0,Regular Customers
12476,31,12,7298.99,0,Regular Customers
12477,34,3,7056.63,0,Regular Customers
12480,34,3,2183.2200000000003,0,Regular Customers
12481,0,6,6765.07,0,Regular Customers
12482,211,29,23691.4,3,Loyal Customers
12483,13,11,2635.6,0,Regular Customers
12484,118,6,1828.43,0,Regular Customers
12485,164,1,708.1,1,Lost Customers
12486,66,1,1037.28,0,Regular Customers
12487,365,1,285.29999999999995,1,Lost Customers
12490,13,11,4405.71,0,Regular Customers
12492,38,1,452.0,0,Regular Customers
12494,0,3,626.77,0,Regular Customers
12495,275,1,357.4,1,Lost Customers
12496,255,2,54.09,1,Lost Customers
12497,35,2,5205.400000000001,0,Regular Customers
12499,195,1,393.72,1,Lost Customers
12500,70,8,1697.39,0,Regular Customers
12503,219,1,1126.0,1,Lost Customers
12504,52,2,297.0,0,Regular Customers
12505,43,1,955.2,0,Regular Customers
12507,219,1,539.25,1,Lost Customers
12510,94,7,4195.45,0,Regular Customers
12511,63,1,3084.02,0,Regular Customers
12514,276,1,580.08,1,Lost Customers
12516,65,2,1336.56,0,Regular Customers
12519,111,1,385.7,0,Regular Customers
12523,9,12,2582.38,0,Regular Customers
12524,23,9,6640.39,0,Regular Customers
12525,133,3,973.73,0,Regular Customers
12527,129,2,386.8,0,Regular Customers
12529,163,1,316.48,1,Lost Customers
12530,50,5,2096.98,0,Regular Customers
12531,321,1,1807.98,1,Lost Customers
12533,262,2,1367.89,1,Lost Customers
12537,43,1,732.94,0,Regular Customers
12538,13,1,276.5,0,Regular Customers
12539,85,3,5646.400000000001,0,Regular Customers
12540,13,16,8854.25,0,Regular Customers
12542,119,2,481.88,0,Regular Customers
12543,83,1,980.25,0,Regular Customers
12547,135,1,175.78,0,Regular Customers
12549,210,6,1575.68,1,Lost Customers
12553,20,2,916.47,0,Regular Customers
12554,83,1,468.5,0,Regular Customers
12555,317,1,129.23,1,Lost Customers
12557,6,4,6725.18,0,Regular Customers
12562,20,2,1185.18,0,Regular Customers
