Customer ID,Recency,Frequency,Monetary
12346,164,11,372.86
12347,2,2,1323.32
12348,73,1,222.16
12349,42,3,2671.14
12351,10,1,300.93
12352,10,2,343.8
12353,43,1,317.76
12355,202,1,488.21000000000004
12356,15,3,3562.25
12357,23,2,12079.99
12358,10,3,2719.01
12359,60,6,2563.36
12360,14,5,1590.83
12361,97,3,321.35
12362,373,1,130.0
12366,268,1,500.24
12368,263,1,917.6999999999999
12369,48,3,1791.15
12370,259,3,774.62
12371,44,3,2179.42
12373,259,2,763.0500000000001
12374,56,3,2246.29
12376,24,2,503.15
12377,16,2,1798.2
12378,197,1,1407.7
12379,57,2,767.98
12380,100,7,6951.49
12385,14,1,1938.4
12386,1,1,258.9
12387,50,1,143.94
12388,80,2,1120.45
12389,37,3,1433.33
12391,99,5,2312.53
12392,226,1,234.75000000000003
12393,17,2,816.85
12395,6,4,2048.64
12396,309,1,931.43
12399,20,3,853.65
12400,49,1,205.25
12402,27,5,1031.3
12403,156,1,591.6600000000001
12404,317,1,63.24
12406,34,3,2975.06
12408,20,3,1452.22
12409,55,4,12346.619999999999
12410,137,1,320.38
12411,44,1,346.9
12412,37,3,1370.05
12413,37,1,241.35
12414,98,3,390.0
12415,10,7,19543.84
12416,291,1,202.56
12417,45,11,3167.81
12418,48,3,1352.62
12419,20,2,503.01
12421,50,2,291.56
12422,29,14,4428.24
12423,22,2,763.08
12424,57,2,1579.07
12425,83,1,964.21
12426,297,1,762.48
12427,6,1,303.5
12429,0,5,3735.51
12431,8,13,4370.52
12433,1,5,7205.39
12434,16,1,297.29
12435,31,4,6096.04
12437,30,21,7731.99
12439,317,2,1158.18
12440,97,2,859.2
12441,1,1,173.55
12443,367,1,485.31
12445,55,1,301.58000000000004
12449,45,2,768.6
12450,34,3,490.32
12451,98,3,3634.36
12454,30,4,13151.44
12455,80,4,3413.09
12457,70,1,632.68
12458,62,2,830.09
12459,240,1,454.36
12460,91,1,326.65
12466,317,1,56.73
12467,58,1,132.8
12468,161,3,2941.2
12469,157,2,3070.54
12470,324,1,211.95
12471,9,49,20139.739999999998
12472,4,13,11308.48
12474,13,13,5048.66
12475,44,1,426.26
12476,31,12,7298.99
12477,34,3,7056.63
12480,34,3,2183.2200000000003
12481,0,6,6765.07
12482,211,29,23691.4
12483,13,11,2635.6
12484,118,6,1828.43
12485,164,1,708.1
12486,66,1,1037.28
12487,365,1,285.29999999999995
12490,13,11,4405.71
12492,38,1,452.0
12494,0,3,626.77
12495,275,1,357.4
12496,255,2,54.09
12497,35,2,5205.400000000001
12499,195,1,393.72
12500,70,8,1697.39
12503,219,1,1126.0
12504,52,2,297.0
12505,43,1,955.2
12507,219,1,539.25
12510,94,7,4195.45
12511,63,1,3084.02
12514,276,1,580.08
12516,65,2,1336.56
12519,111,1,385.7
12523,9,12,2582.38
12524,23,9,6640.39
12525,133,3,973.73
12527,129,2,386.8
12529,163,1,316.48
12530,50,5,2096.98
12531,321,1,1807.98
12533,262,2,1367.89
12537,43,1,732.94
12538,13,1,276.5
12539,85,3,5646.400000000001
12540,13,16,8854.25
12542,119,2,481.88
12543,83,1,980.25
12547,135,1,175.78
12549,210,6,1575.68
12553,20,2,916.47
12554,83,1,468.5
12555,317,1,129.23
12557,6,4,6725.18
12562,20,2,1185.18
12563,43,1,249.24
12567,2,7,4308.58
12568,279,1,70.0
12570,317,1,77.52
12573,16,4,556.87
12575,92,2,622.8199999999999
12576,27,3,826.89
12577,16,5,995.9499999999999
12578,20,2,1847.94
12580,211,1,637.2
12582,57,2,1469.04
12583,8,13,7166.0599999999995
12586,9,3,1865.73
12588,34,3,743.88
12589,56,6,4048.98
12591,25,2,899.3
12592,154,3,2145.06
12594,13,5,1751.89
12595,139,1,299.02
12598,98,3,1511.01
12599,16,6,1264.14
12600,6,12,2444.88
12601,39,1,104.19999999999999
12605,11,4,1232.95
12606,317,1,21.0
12608,39,1,415.79
12609,9,6,2309.01
12613,23,5,3490.69
12615,48,4,3449.79
12616,23,1,417.8
12619,195,1,140.14
12621,0,16,11086.14
12623,51,6,3442.7400000000002
12625,144,2,2481.06
12629,20,2,1558.22
12631,91,5,2841.07
12632,155,2,804.88
12633,17,3,3514.18
12634,170,2,490.0
12635,27,2,1241.23
12636,373,1,141.0
12637,13,4,2318.41
12638,274,1,249.8
12639,69,2,826.27
12643,20,6,5005.78
12644,65,3,1440.58
12645,44,4,1764.12
12647,2,27,14201.53
12648,72,3,793.95
12649,17,5,1671.1399999999999
12651,13,3,263.75
12652,69,1,97.05000000000001
12653,161,1,1950.98
12655,58,1,261.35
12656,60,3,2356.66
12661,71,1,162.0
12662,8,10,3138.2400000000002
12663,259,2,239.4
12664,149,2,1188.16
12665,52,2,250.6
12666,29,1,1248.42
12668,13,6,7637.53
12670,20,2,764.24
12671,241,1,2622.481
12672,230,1,211.15
12673,36,1,619.5
12675,188,2,958.5
12676,43,5,1511.7
12677,190,2,395.1
12678,10,9,16652.72
12681,2,24,17080.74
12682,0,23,11745.69
12683,0,8,4220.21
12686,6,1,89.14
12687,115,2,2138.91
12691,55,1,134.6
12692,272,1,110.95
12693,31,3,847.11
12694,56,1,973.68
12695,163,3,825.02
12696,69,2,851.91
12698,225,1,339.75
12699,52,1,638.11
12701,164,4,1648.7
12703,268,3,722.98
12705,18,5,4893.81
12708,3,9,2601.19
12709,1,20,21356.82
12711,246,2,1339.05
12712,0,10,2797.53
12714,23,7,9384.85
12717,225,1,277.93
12720,4,6,2478.94
12721,20,2,1356.95
12724,18,3,1286.11
12725,6,4,2266.76
12726,22,4,1405.5
12727,77,3,1698.8300000000002
12728,18,1,233.84
12730,156,1,829.25
12731,77,5,6879.8
12733,24,3,2040.92
12734,9,2,529.25
12737,133,2,3710.5
12738,7,1,155.35
12739,20,2,1713.69
12741,164,2,406.07
12742,260,1,1201.52
12744,94,4,4037.77
12745,121,3,925.41
12746,175,1,254.55
12747,4,16,5080.53
12748,0,144,22879.66
12749,34,4,2806.48
12751,79,1,268.27
12755,0,10,5218.709999999999
12758,94,5,7111.650000000001
12759,21,5,3489.3
12760,90,1,347.8
12761,92,2,782.95
12763,4,1,320.08
12765,107,6,1404.58
12766,1,3,3078.65
12767,10,1,949.82
12768,85,1,168.69000000000003
12770,91,1,1895.0
12771,120,1,282.3
12773,199,1,124.25
12774,170,1,98.7
12775,23,2,300.08
12776,302,1,55.5
12777,92,1,519.45
12778,31,3,953.45
12779,6,7,2740.91
12780,233,1,337.4
12782,9,6,2287.32
12784,164,1,1230.33
12785,170,2,788.45
12786,244,1,728.5
12787,48,1,398.52
12788,98,4,444.9
12789,147,2,181.5
12790,45,1,266.93
12791,8,6,863.51
12792,169,1,426.47
12793,6,2,471.85
12796,263,1,381.0
12797,0,2,552.08
12798,56,1,1533.8899999999999
12799,164,1,219.35
12800,105,3,584.25
12801,135,1,1071.82
12802,77,6,1988.84
12803,28,1,1092.81
12804,100,2,327.02
12805,16,4,1434.95
12806,70,4,2878.96
12807,18,1,330.35
12808,3,3,422.45
12809,200,2,1266.63
12810,169,2,534.99
12811,13,2,519.05
12813,136,3,1687.8
12817,34,2,524.94
12819,93,1,540.52
12820,32,7,1747.18
12821,246,1,128.07999999999998
12823,29,13,4742.0
12825,156,2,518.63
12826,0,6,1481.03
12829,185,1,92.30000000000001
12831,98,2,236.06
12835,62,41,6043.31
12836,24,11,3972.76
12837,204,1,554.31
12838,8,9,2715.35
12839,2,13,4480.31
12840,72,3,1315.2
12841,4,17,3518.33
12842,39,2,799.0
12843,17,22,4886.15
12844,77,2,322.64
12846,317,1,15.58
12847,22,1,765.36
12848,310,1,208.0
12849,16,4,2039.67
12850,80,1,330.0
12851,112,1,148.95
12853,62,5,1950.4
12854,196,4,1669.52
12855,7,4,612.84
12857,71,4,2581.6
12858,18,1,177.92
12859,93,1,575.1
12860,328,1,55.47
12861,254,1,68.25
12862,60,2,1008.3199999999999
12863,14,5,2271.35
12864,143,1,152.45
12865,13,2,1755.24
12866,109,2,668.23
12867,32,6,3876.47
12868,8,3,640.0
12869,316,1,337.66999999999996
12870,10,3,1676.95
12871,74,1,363.38
12872,0,11,3085.52
12873,32,2,1653.3
12874,20,2,948.42
12875,106,3,1013.76
12876,29,2,1863.77
12877,36,8,1419.4
12880,16,2,640.13
12887,18,1,222.4
12889,16,4,385.46000000000004
12890,22,1,336.8
12891,93,8,509.5
12892,31,1,263.38
12894,210,1,157.35
12897,16,2,297.75
12898,98,2,310.96000000000004
12899,48,1,366.4
12900,57,1,340.33
12903,63,1,833.53
12905,211,2,1018.42
12907,30,2,508.91
12908,15,3,1026.0
12909,59,3,924.52
12910,14,5,2721.48
12911,186,1,1680.47
12913,3,9,4217.2300000000005
12914,35,1,223.98
12915,7,3,811.1
12916,77,3,1647.87
12917,35,5,3765.2
12918,261,1,10953.5
12920,206,3,323.86
12921,1,39,19333.95
12923,25,2,612.9
12924,28,8,1535.7
12925,227,1,35.28
12926,46,4,1548.46
12927,29,1,197.31
12928,13,7,2242.19
12931,15,42,50291.38
12932,174,8,1698.56
12933,15,5,1079.5
12934,371,1,181.65
12935,10,8,2083.16
12937,98,5,1593.34
12939,14,12,13683.0
12941,359,1,377.49
12942,0,1,258.75
12943,193,2,496.5
12945,291,1,437.16
12946,71,1,324.45
12947,8,1,304.04
12948,365,2,252.48000000000002
12949,17,14,11359.48
12951,21,9,2149.65
12953,157,1,498.96000000000004
12954,273,1,162.45
12956,319,3,413.82
12957,176,5,4689.43
12958,35,2,539.49
12959,119,1,150.95
12960,48,4,1322.07
12961,14,1,211.99
12963,0,5,1744.96
12964,72,1,132.24
12967,6,2,2646.02
12969,237,1,122.45
12970,15,6,1072.73
12971,1,33,4782.88
12972,48,4,1161.2
12973,48,1,385.55
12974,200,1,264.15
12975,71,6,2100.09
12976,13,7,2417.7799999999997
12977,136,3,478.39
12978,20,5,2502.82
12979,364,1,517.7
12980,21,12,8870.880000000001
12982,29,7,2354.27
12983,233,1,490.08000000000004
12986,63,10,2729.84
12987,55,3,753.51
12989,59,18,6627.64
12990,52,4,546.0
12991,24,1,261.06
12992,360,1,93.35000000000001
12993,80,4,844.87
12996,10,1,355.5
12997,29,4,884.02
12998,127,3,920.08
13000,360,1,497.65000000000003
13001,39,20,14353.28
13002,51,2,293.18
13004,21,18,5994.94
13005,66,2,485.98
13007,214,1,175.25
13008,32,2,382.66
13009,307,1,234.0
13010,9,2,330.12
13011,7,1,50.550000000000004
13012,64,3,1310.99
13013,6,18,7814.83
13014,67,1,1914.8
13015,73,6,3240.14
13018,48,7,2485.46
13019,14,6,1229.95
13020,197,2,618.96
13021,9,8,2270.86
13022,64,1,65.3
13023,163,1,759.13
13024,105,2,555.87
13025,366,1,323.39
13026,123,4,757.72
13027,20,13,10423.2
13029,9,2,679.8
13030,3,1,427.74
13031,42,5,3419.27
13032,27,7,1833.37
13033,64,1,30.0
13034,4,2,279.91
13035,66,1,442.32
13036,319,1,307.1
13037,34,9,3033.88
13039,219,4,1010.73
13041,85,4,799.13
13042,233,3,1556.54
13044,127,10,4293.43
13045,36,2,503.64
